visit_id,branch_id,customer_id,lead_id,visit_time
132,100,,3,2021-03-09 07:31:17
133,200,23,,2021-03-09 07:46:48
134,100,,10,2021-03-09 08:35:31
135,300,11,,2021-03-09 11:05:20
136,300,1,,2021-03-09 12:48:14
137,300,,9,2021-03-09 13:24:57
138,100,18,,2021-03-09 13:56:47
139,200,29,,2021-03-09 18:36:15
140,100,26,,2021-03-09 19:00:57
141,300,17,,2021-03-10 02:23:04
142,300,,12,2021-03-10 06:42:09
143,300,,7,2021-03-10 07:17:32
144,300,11,,2021-03-10 09:03:46
145,200,17,,2021-03-10 09:48:41
146,300,26,,2021-03-10 10:45:25
147,300,,8,2021-03-10 11:58:22
148,300,,8,2021-03-10 14:23:07
149,200,4,,2021-03-10 19:48:06
150,100,8,,2021-03-10 21:53:12
151,300,27,,2021-03-11 02:13:54
152,200,,9,2021-03-11 14:46:57
153,200,31,,2021-03-11 21:57:10
154,200,28,,2021-03-11 23:01:18
155,200,,12,2021-03-11 23:23:14
156,200,,6,2021-03-12 02:00:58
157,200,3,,2021-03-12 09:04:13
158,200,22,,2021-03-12 22:49:18
159,200,33,,2021-03-13 01:47:48
160,200,5,,2021-03-13 02:12:19
161,100,3,,2021-03-13 05:13:14
162,200,14,,2021-03-13 07:54:39
163,100,,13,2021-03-13 08:29:36
164,300,7,,2021-03-13 17:18:40
165,200,,12,2021-03-14 00:45:46
166,100,6,,2021-03-14 09:03:31
167,200,,7,2021-03-14 10:31:50
168,100,29,,2021-03-14 10:42:14
169,300,,1,2021-03-15 00:22:11
170,100,18,,2021-03-15 02:19:06
171,100,2,,2021-03-15 03:27:13
172,200,28,,2021-03-15 04:21:15
173,100,,17,2021-03-15 05:02:28
174,300,38,,2021-03-15 13:59:11
175,100,32,,2021-03-15 15:04:02
176,100,18,,2021-03-15 16:02:15
177,300,36,,2021-03-15 17:25:08
178,100,20,,2021-03-15 18:34:12
179,200,24,,2021-03-15 22:08:25
180,300,5,,2021-03-16 00:20:50
181,200,20,,2021-03-16 00:33:30
182,300,,12,2021-03-16 00:33:55
183,200,,13,2021-03-16 02:00:48
184,100,29,,2021-03-16 05:04:41
185,300,39,,2021-03-16 09:00:38
186,100,36,,2021-03-16 16:47:04
187,100,40,,2021-03-16 17:20:17
188,100,12,,2021-03-16 22:21:47
189,300,22,,2021-03-17 04:14:02
190,300,,7,2021-03-17 05:27:43
191,300,26,,2021-03-17 10:42:41
192,200,38,,2021-03-17 20:57:31
193,100,12,,2021-03-17 21:48:56
194,100,7,,2021-03-17 22:35:23
195,100,34,,2021-03-17 22:54:03
196,100,25,,2021-03-18 00:07:18
197,300,42,,2021-03-18 09:30:00
198,100,36,,2021-03-18 11:37:46
199,300,24,,2021-03-18 12:29:27
200,200,16,,2021-03-18 12:34:10
201,100,20,,2021-03-18 18:29:20
202,200,40,,2021-03-18 20:57:45
203,200,30,,2021-03-18 21:21:43
204,200,36,,2021-03-19 01:04:43
205,200,24,,2021-03-19 02:20:28
206,200,14,,2021-03-19 06:17:30
207,200,15,,2021-03-19 07:44:32
208,300,40,,2021-03-19 09:39:46
209,100,40,,2021-03-19 12:05:51
210,200,10,,2021-03-19 13:47:20
211,300,,7,2021-03-20 03:02:42
212,200,,11,2021-03-20 06:41:41
213,100,27,,2021-03-20 07:41:39
214,100,10,,2021-03-20 13:11:50
215,200,3,,2021-03-20 13:16:06
216,200,,5,2021-03-20 15:09:08
217,100,4,,2021-03-21 03:40:13
218,300,8,,2021-03-21 05:14:54
219,300,41,,2021-03-21 11:33:23
220,300,,4,2021-03-21 18:41:46
221,200,1,,2021-03-21 19:51:35
222,300,5,,2021-03-21 21:05:18
223,100,22,,2021-03-21 22:31:17
224,300,30,,2021-03-22 03:33:23
225,100,,15,2021-03-22 13:12:55
226,100,,10,2021-03-22 18:29:31
227,200,12,,2021-03-22 19:02:31
228,200,,16,2021-03-23 00:27:39
229,200,,1,2021-03-23 10:19:32
230,100,29,,2021-03-23 12:28:17
231,100,15,,2021-03-23 14:09:58
232,300,37,,2021-03-23 15:10:42
233,200,40,,2021-03-23 22:04:34
234,300,30,,2021-03-24 02:10:38
235,300,17,,2021-03-24 02:52:46
236,300,,2,2021-03-24 03:57:33
237,200,31,,2021-03-24 07:06:59
238,100,,11,2021-03-24 08:59:14
239,100,40,,2021-03-24 12:02:00
240,100,36,,2021-03-24 18:08:00
241,300,2,,2021-03-24 21:22:32
242,200,,6,2021-03-24 22:26:22
243,200,40,,2021-03-25 02:17:57
244,200,10,,2021-03-25 07:15:00
245,300,9,,2021-03-25 10:15:38
246,200,42,,2021-03-25 16:06:33
247,200,,20,2021-03-25 17:44:35
248,200,47,,2021-03-25 23:34:10
249,200,,12,2021-03-26 05:42:43
250,300,26,,2021-03-26 06:35:22
251,200,3,,2021-03-26 10:38:34
252,300,,8,2021-03-26 12:28:51
253,100,21,,2021-03-26 13:29:18
254,300,40,,2021-03-26 14:26:04
255,200,2,,2021-03-26 17:03:14
256,200,35,,2021-03-26 18:16:10
257,200,,20,2021-03-26 19:52:24
258,100,22,,2021-03-27 06:31:48
259,200,,2,2021-03-27 08:23:25
260,300,46,,2021-03-27 12:37:38
261,300,10,,2021-03-27 13:51:46
262,200,,4,2021-03-27 19:22:18
263,200,,21,2021-03-28 06:41:41
264,100,30,,2021-03-28 09:28:29
265,200,7,,2021-03-28 12:38:03
266,200,33,,2021-03-28 16:11:02
267,100,2,,2021-03-28 19:25:52
268,300,22,,2021-03-28 20:42:42
269,100,,27,2021-03-28 21:58:32
270,100,,6,2021-03-28 23:38:28
271,300,12,,2021-03-29 09:06:35
272,300,22,,2021-03-29 09:12:45
273,300,29,,2021-03-29 12:32:57
274,300,17,,2021-03-29 12:44:33
275,300,28,,2021-03-29 20:01:45
276,200,48,,2021-03-30 05:00:54
277,300,30,,2021-03-30 10:47:06
278,200,12,,2021-03-30 12:04:56
279,200,14,,2021-03-30 12:04:58
280,300,,24,2021-03-30 15:00:24
281,100,24,,2021-03-30 23:37:30
282,200,36,,2021-03-31 03:12:20
283,100,24,,2021-03-31 03:53:21
284,300,3,,2021-03-31 04:49:52
285,300,,7,2021-03-31 09:28:12
286,200,16,,2021-03-31 11:32:00
287,300,50,,2021-03-31 23:21:16
288,200,36,,2021-04-01 13:57:43
289,200,3,,2021-04-01 15:47:43
290,200,27,,2021-04-01 23:07:13
291,100,,9,2021-04-02 01:43:16
292,300,6,,2021-04-02 03:14:07
293,200,18,,2021-04-02 08:49:18
294,300,22,,2021-04-02 10:43:58
295,100,,8,2021-04-02 13:22:01
296,100,,15,2021-04-02 13:45:59
297,200,36,,2021-04-02 21:19:59
298,200,37,,2021-04-02 23:03:13
299,300,2,,2021-04-02 23:20:56
300,300,12,,2021-04-03 02:49:51
301,200,,20,2021-04-03 06:04:17
302,100,40,,2021-04-03 07:01:10
303,300,29,,2021-04-03 12:49:41
304,100,,8,2021-04-03 17:40:04
305,300,41,,2021-04-04 05:42:39
306,200,,16,2021-04-04 10:11:18
307,300,16,,2021-04-04 10:55:08
308,200,39,,2021-04-04 17:43:04
309,100,36,,2021-04-05 01:07:29
310,300,52,,2021-04-05 03:35:36
311,300,,5,2021-04-05 05:48:43
312,200,26,,2021-04-05 07:18:45
313,100,36,,2021-04-05 08:04:34
314,100,,23,2021-04-05 08:28:29
315,200,6,,2021-04-05 13:37:50
316,200,4,,2021-04-05 19:22:57
317,100,,16,2021-04-05 22:58:20
318,300,7,,2021-04-06 05:50:08
319,300,11,,2021-04-06 07:28:57
320,300,11,,2021-04-06 09:01:38
321,100,,17,2021-04-06 18:15:57
322,300,26,,2021-04-06 22:17:57
323,200,11,,2021-04-07 05:30:38
324,100,46,,2021-04-07 12:10:42
325,200,,17,2021-04-07 14:43:28
326,200,47,,2021-04-07 17:58:38
327,200,24,,2021-04-08 01:01:21
328,300,14,,2021-04-08 03:10:05
329,200,,4,2021-04-08 03:21:22
330,300,,14,2021-04-08 06:19:28
331,100,23,,2021-04-08 10:07:04
332,100,1,,2021-04-08 15:16:52
333,100,25,,2021-04-08 16:09:49
334,100,53,,2021-04-08 16:40:33
335,200,29,,2021-04-08 18:56:20
336,100,20,,2021-04-08 19:28:16
337,300,15,,2021-04-08 21:42:25
338,100,,8,2021-04-09 03:47:53
339,100,43,,2021-04-09 11:27:42
340,200,40,,2021-04-09 15:32:21
341,200,26,,2021-04-09 17:19:27
342,100,,39,2021-04-09 17:26:13
343,300,49,,2021-04-09 21:51:09
344,300,3,,2021-04-10 06:58:40
345,200,,32,2021-04-10 10:46:40
346,200,14,,2021-04-10 15:42:45
347,100,30,,2021-04-10 17:45:27
348,100,,39,2021-04-10 18:38:45
349,200,44,,2021-04-10 19:00:00
350,100,41,,2021-04-10 21:06:30
351,300,14,,2021-04-11 04:16:07
352,200,,2,2021-04-11 04:48:38
353,200,38,,2021-04-11 06:46:54
354,300,1,,2021-04-11 09:40:41
355,100,37,,2021-04-11 20:07:22
356,200,,3,2021-04-11 21:47:56
357,200,27,,2021-04-12 01:20:22
358,100,,34,2021-04-12 11:39:47
359,300,,27,2021-04-12 16:06:35
360,100,62,,2021-04-12 21:23:44
361,100,22,,2021-04-12 22:50:09
362,200,27,,2021-04-13 00:41:25
363,200,,14,2021-04-13 11:52:47
364,200,28,,2021-04-13 13:31:34
365,200,46,,2021-04-13 15:00:29
366,100,44,,2021-04-13 16:12:01
367,100,,28,2021-04-13 16:23:48
368,200,16,,2021-04-13 22:01:03
369,300,17,,2021-04-13 22:08:48
370,200,14,,2021-04-14 00:36:27
371,300,14,,2021-04-14 01:39:58
372,200,,3,2021-04-14 04:53:20
373,100,6,,2021-04-14 06:05:31
374,300,,22,2021-04-14 08:13:09
375,200,43,,2021-04-14 08:48:48
376,300,,6,2021-04-14 09:59:28
377,300,,41,2021-04-14 13:56:11
378,200,49,,2021-04-14 17:03:21
379,300,19,,2021-04-14 18:01:09
380,300,,37,2021-04-14 19:01:46
381,100,26,,2021-04-14 21:03:02
382,300,11,,2021-04-15 07:23:10
383,100,43,,2021-04-15 16:25:56
384,200,41,,2021-04-16 00:05:38
385,200,,4,2021-04-16 11:29:42
386,100,18,,2021-04-16 16:36:51
387,300,55,,2021-04-17 07:37:34
388,200,4,,2021-04-17 08:22:24
389,300,32,,2021-04-17 11:19:57
390,100,7,,2021-04-17 16:48:34
391,200,62,,2021-04-17 17:56:20
392,300,,16,2021-04-17 21:38:32
393,300,53,,2021-04-18 00:18:25
394,100,10,,2021-04-18 02:04:02
395,300,43,,2021-04-18 03:20:18
396,300,44,,2021-04-18 13:03:06
397,300,12,,2021-04-18 16:00:15
398,300,1,,2021-04-19 06:18:43
399,200,35,,2021-04-19 09:49:01
400,200,6,,2021-04-19 11:01:27
401,200,70,,2021-04-19 11:29:59
402,100,22,,2021-04-19 13:05:54
403,300,22,,2021-04-19 16:20:08
404,300,,5,2021-04-19 20:27:20
405,200,7,,2021-04-19 21:41:23
406,300,,3,2021-04-19 23:30:00
407,100,18,,2021-04-20 12:58:25
408,300,59,,2021-04-20 14:53:24
409,200,40,,2021-04-20 17:34:23
410,300,72,,2021-04-20 19:35:57
411,200,73,,2021-04-20 22:54:53
412,100,73,,2021-04-21 00:31:40
413,300,,22,2021-04-21 02:40:03
414,200,,7,2021-04-21 06:15:07
415,100,,30,2021-04-21 14:28:55
416,300,,2,2021-04-22 06:57:53
417,100,45,,2021-04-22 06:58:28
418,200,66,,2021-04-22 07:43:50
419,300,69,,2021-04-22 07:46:07
420,200,,28,2021-04-22 10:20:05
421,300,,33,2021-04-22 13:26:15
422,200,19,,2021-04-22 14:37:31
423,200,6,,2021-04-22 16:42:05
424,100,56,,2021-04-22 17:42:05
425,200,,3,2021-04-22 22:14:15
426,300,,23,2021-04-23 14:04:02
427,200,51,,2021-04-23 15:23:19
428,200,2,,2021-04-23 18:38:08
429,300,15,,2021-04-23 19:32:20
430,300,,28,2021-04-23 20:41:31
431,200,,31,2021-04-23 23:15:48
432,300,77,,2021-04-24 07:48:06
433,100,65,,2021-04-24 09:14:21
434,300,,23,2021-04-24 10:04:59
435,100,,28,2021-04-24 17:00:47
436,200,69,,2021-04-24 18:16:31
437,200,41,,2021-04-24 21:54:58
438,200,27,,2021-04-24 23:42:16
439,200,31,,2021-04-24 23:47:50
440,100,15,,2021-04-25 02:24:27
441,100,70,,2021-04-25 03:19:46
442,200,79,,2021-04-25 04:30:43
443,200,53,,2021-04-25 11:08:22
444,100,,10,2021-04-25 12:28:08
445,300,,3,2021-04-25 21:45:59
446,100,,40,2021-04-25 23:23:17
447,300,66,,2021-04-25 23:39:14
448,100,26,,2021-04-26 03:04:18
449,200,65,,2021-04-26 09:08:38
450,300,43,,2021-04-26 18:19:39
451,300,45,,2021-04-27 00:09:16
452,200,32,,2021-04-27 02:05:20
453,300,72,,2021-04-27 04:51:57
454,300,70,,2021-04-27 09:32:24
455,300,64,,2021-04-27 13:20:19
456,300,45,,2021-04-27 14:59:32
457,100,70,,2021-04-27 15:30:18
458,300,,31,2021-04-28 01:35:31
459,200,,11,2021-04-28 06:55:27
460,300,9,,2021-04-28 10:38:50
461,300,,22,2021-04-28 13:18:03
462,300,71,,2021-04-28 14:25:40
463,200,,37,2021-04-28 14:41:10
464,100,,20,2021-04-28 17:33:22
465,300,28,,2021-04-29 01:23:20
466,300,35,,2021-04-29 08:53:10
467,200,23,,2021-04-29 11:44:55
468,300,25,,2021-04-29 12:58:57
469,100,65,,2021-04-29 13:20:47
470,200,28,,2021-04-29 16:17:05
471,300,27,,2021-04-29 17:16:02
472,300,,22,2021-04-29 22:34:20
473,100,24,,2021-04-30 00:39:31
474,300,,16,2021-04-30 05:10:45
475,300,67,,2021-04-30 13:15:19
476,100,9,,2021-04-30 16:31:57
477,200,14,,2021-04-30 18:01:04
478,100,45,,2021-04-30 18:53:37
479,200,,39,2021-04-30 21:03:02
480,200,26,,2021-05-01 06:07:25
481,200,,17,2021-05-01 11:54:42
482,100,,18,2021-05-01 15:10:15
483,300,79,,2021-05-01 15:12:38
484,200,4,,2021-05-01 17:50:52
485,100,14,,2021-05-02 08:25:03
486,300,50,,2021-05-02 15:15:23
487,100,32,,2021-05-02 15:45:04
488,200,,5,2021-05-02 16:10:39
489,300,48,,2021-05-02 19:46:16
490,300,33,,2021-05-03 02:36:44
491,300,,26,2021-05-03 04:20:16
492,200,86,,2021-05-03 04:26:00
493,100,30,,2021-05-03 06:27:38
494,200,43,,2021-05-03 10:03:42
495,300,,7,2021-05-03 12:54:21
496,100,15,,2021-05-03 16:06:20
497,200,89,,2021-05-03 16:16:56
498,300,77,,2021-05-04 05:50:10
499,100,64,,2021-05-04 22:06:15
500,200,58,,2021-05-05 00:48:56
501,300,2,,2021-05-05 10:51:57
502,200,,49,2021-05-05 11:32:33
503,200,8,,2021-05-05 16:29:33
504,300,18,,2021-05-05 19:15:07
505,100,30,,2021-05-06 12:17:04
506,200,,31,2021-05-06 13:47:13
507,200,41,,2021-05-06 15:40:44
508,300,51,,2021-05-06 17:53:17
509,200,34,,2021-05-06 20:13:27
510,300,,4,2021-05-06 21:07:56
511,300,44,,2021-05-06 22:53:13
512,100,24,,2021-05-06 22:58:14
513,100,,13,2021-05-06 23:09:25
514,300,,33,2021-05-07 01:48:16
515,200,32,,2021-05-07 01:50:07
516,100,53,,2021-05-07 07:59:44
517,100,8,,2021-05-07 20:04:29
518,300,48,,2021-05-07 21:14:44
519,100,,9,2021-05-08 02:46:50
520,200,87,,2021-05-08 11:46:33
521,300,72,,2021-05-08 22:34:22
522,200,3,,2021-05-08 23:34:54
523,100,90,,2021-05-09 01:09:38
524,100,,30,2021-05-09 05:43:50
525,200,,38,2021-05-09 08:09:48
526,200,,19,2021-05-09 16:09:12
527,100,,47,2021-05-09 19:21:20
528,200,40,,2021-05-09 22:40:59
529,300,61,,2021-05-10 01:02:22
530,200,20,,2021-05-10 04:38:12
531,300,38,,2021-05-10 10:00:35
532,100,53,,2021-05-10 12:28:01
533,200,68,,2021-05-10 12:49:31
534,300,,3,2021-05-10 16:57:09
535,300,31,,2021-05-10 18:29:07
536,200,12,,2021-05-10 22:58:07
537,200,57,,2021-05-11 11:53:24
538,100,73,,2021-05-11 15:17:39
539,100,23,,2021-05-11 16:23:33
540,300,47,,2021-05-11 19:26:49
541,200,20,,2021-05-11 20:17:41
542,100,43,,2021-05-12 02:26:09
543,100,78,,2021-05-13 16:57:43
544,300,,24,2021-05-13 19:07:11
545,300,33,,2021-05-14 05:58:48
546,100,30,,2021-05-14 10:25:24
547,100,,23,2021-05-14 11:06:24
548,100,,39,2021-05-14 18:08:39
549,100,27,,2021-05-14 22:35:53
550,200,51,,2021-05-14 23:41:39
551,100,58,,2021-05-15 05:01:36
552,100,,26,2021-05-15 05:52:54
553,100,,53,2021-05-15 09:08:01
554,200,41,,2021-05-15 12:26:04
555,200,38,,2021-05-15 16:05:48
556,200,58,,2021-05-15 22:40:55
557,200,,2,2021-05-16 03:28:22
558,300,89,,2021-05-16 10:14:37
559,200,92,,2021-05-16 18:01:41
560,300,26,,2021-05-16 18:07:54
561,200,70,,2021-05-16 19:01:39
562,300,,30,2021-05-16 21:47:57
563,100,16,,2021-05-16 23:09:13
564,300,37,,2021-05-17 01:08:41
565,100,,46,2021-05-17 01:53:49
566,300,46,,2021-05-17 07:21:09
567,300,13,,2021-05-17 07:27:15
568,200,70,,2021-05-17 08:35:55
569,200,,14,2021-05-17 10:35:55
570,100,45,,2021-05-17 17:11:29
571,100,90,,2021-05-17 18:55:41
572,300,,21,2021-05-18 01:28:18
573,200,,23,2021-05-18 03:07:54
574,300,98,,2021-05-18 03:15:30
575,100,47,,2021-05-18 03:18:19
576,200,,49,2021-05-18 10:28:04
577,100,27,,2021-05-19 12:57:49
578,100,70,,2021-05-19 19:26:59
579,100,87,,2021-05-20 08:20:52
580,100,93,,2021-05-20 08:47:52
581,200,94,,2021-05-20 16:40:43
582,200,60,,2021-05-20 21:17:23
583,300,88,,2021-05-20 21:18:46
584,300,80,,2021-05-20 23:15:04
585,200,,56,2021-05-21 07:34:14
586,100,3,,2021-05-21 15:13:10
587,100,68,,2021-05-21 16:17:23
588,100,,33,2021-05-21 18:59:35
589,200,72,,2021-05-21 22:10:27
590,100,51,,2021-05-22 02:05:38
591,300,,43,2021-05-22 02:57:10
592,300,104,,2021-05-22 09:21:34
593,200,55,,2021-05-22 11:41:45
594,100,17,,2021-05-22 17:35:43
595,200,38,,2021-05-22 20:25:09
596,100,63,,2021-05-23 02:07:15
597,200,,51,2021-05-23 02:27:31
598,100,1,,2021-05-23 04:02:47
599,200,51,,2021-05-23 08:20:54
600,100,21,,2021-05-23 09:37:06
601,200,17,,2021-05-23 10:29:02
602,300,68,,2021-05-23 12:51:32
603,300,97,,2021-05-23 14:52:41
604,200,69,,2021-05-23 18:06:12
605,300,44,,2021-05-23 18:33:22
606,100,33,,2021-05-23 20:54:19
607,200,,37,2021-05-23 21:21:51
608,300,13,,2021-05-24 00:43:53
609,200,33,,2021-05-24 06:30:53
610,300,39,,2021-05-24 07:57:19
611,100,,1,2021-05-24 08:35:45
612,300,28,,2021-05-24 09:52:55
613,100,34,,2021-05-24 10:22:18
614,300,99,,2021-05-24 10:49:28
615,200,104,,2021-05-24 18:36:18
616,200,,9,2021-05-25 03:31:39
617,100,,21,2021-05-25 07:29:13
618,100,90,,2021-05-25 07:56:38
619,300,73,,2021-05-25 08:19:04
620,200,99,,2021-05-25 21:03:02
621,200,56,,2021-05-26 01:11:30
622,100,,3,2021-05-26 02:28:40
623,300,111,,2021-05-26 05:00:16
624,100,80,,2021-05-26 06:54:35
625,300,16,,2021-05-26 10:43:46
626,200,,37,2021-05-26 11:38:03
627,200,50,,2021-05-26 16:26:45
628,200,81,,2021-05-26 17:15:55
629,300,,48,2021-05-26 19:42:38
630,100,61,,2021-05-26 21:33:41
631,300,88,,2021-05-27 11:10:28
632,200,46,,2021-05-27 19:07:36
633,100,113,,2021-05-27 21:33:44
634,300,96,,2021-05-28 01:19:05
635,300,44,,2021-05-28 05:53:46
636,200,42,,2021-05-28 06:47:54
637,300,,62,2021-05-28 22:53:50
638,100,52,,2021-05-28 23:17:43
639,300,,5,2021-05-29 03:28:54
640,200,85,,2021-05-29 07:14:30
641,100,59,,2021-05-29 09:09:06
642,300,8,,2021-05-29 09:22:55
643,200,36,,2021-05-29 11:53:37
644,300,24,,2021-05-29 12:03:04
645,100,121,,2021-05-29 17:48:09
646,300,121,,2021-05-30 01:18:51
647,200,96,,2021-05-30 04:13:47
648,100,2,,2021-05-31 12:16:27
649,200,97,,2021-05-31 19:48:22
650,200,76,,2021-06-01 00:02:07
651,100,27,,2021-06-01 01:02:49
652,200,1,,2021-06-01 01:49:13
653,300,118,,2021-06-01 06:14:44
654,100,43,,2021-06-01 06:47:01
655,200,123,,2021-06-01 15:47:47
656,100,,39,2021-06-01 16:56:44
657,300,80,,2021-06-01 20:13:51
658,300,29,,2021-06-01 20:23:31
659,300,31,,2021-06-02 09:26:02
660,100,55,,2021-06-03 03:36:15
661,200,,63,2021-06-03 04:23:27
662,200,,7,2021-06-03 05:18:17
663,200,,17,2021-06-03 08:53:37
664,200,118,,2021-06-03 12:19:31
665,300,45,,2021-06-03 17:44:47
666,200,122,,2021-06-03 19:50:20
667,300,,1,2021-06-04 02:31:30
668,300,,37,2021-06-04 06:39:51
669,200,30,,2021-06-04 15:26:21
670,100,,69,2021-06-04 17:39:23
671,200,,32,2021-06-04 17:59:53
672,100,,28,2021-06-04 19:29:30
673,100,,34,2021-06-04 21:30:46
674,100,121,,2021-06-04 22:42:08
675,100,97,,2021-06-05 01:09:49
676,200,94,,2021-06-05 01:25:57
677,100,43,,2021-06-05 02:35:29
678,200,52,,2021-06-05 06:38:09
679,300,74,,2021-06-05 07:19:58
680,300,126,,2021-06-05 15:10:16
681,100,,34,2021-06-05 17:36:30
682,300,62,,2021-06-06 07:03:58
683,200,,21,2021-06-06 07:05:55
684,300,,34,2021-06-06 16:08:40
685,200,,4,2021-06-06 20:31:21
686,100,119,,2021-06-07 18:31:52
687,300,25,,2021-06-07 18:58:35
688,100,,28,2021-06-07 23:20:31
689,100,,21,2021-06-08 20:47:50
690,200,,46,2021-06-08 23:29:54
691,300,92,,2021-06-09 01:44:17
692,300,97,,2021-06-09 04:26:21
693,300,,48,2021-06-09 09:10:46
694,200,,1,2021-06-09 10:00:46
695,300,128,,2021-06-09 15:49:51
696,100,,37,2021-06-09 17:05:13
697,200,,29,2021-06-09 19:58:46
