Order_id,branch_id,customer_id,time,payment_method,status_order,installation_order
93,100,622,2025-07-05 17:09:04,Debit Card,Pending,Yes
94,100,1064,2021-11-02 15:42:37,Online,Pending,Yes
95,200,223,2023-07-01 02:39:41,Debit Card,Completed,No
96,300,1135,2025-01-16 01:14:46,Debit Card,Completed,Yes
97,100,2209,2023-12-26 17:10:01,Credit Card,Completed,Yes
98,200,1223,2024-09-23 08:11:19,Cash,Completed,Yes
99,200,2731,2024-12-20 20:47:45,Cash,Completed,No
100,200,1814,2024-07-26 19:30:21,Cash,Completed,No
101,100,720,2023-07-28 17:37:08,Online,Completed,Yes
102,200,234,2023-01-04 12:29:38,Debit Card,Completed,No
103,300,134,2025-03-13 09:47:57,Debit Card,Completed,No
104,200,1705,2024-05-10 02:45:01,Online,Completed,Yes
105,200,2370,2025-06-27 18:37:24,Credit Card,Completed,Yes
106,100,2297,2025-04-05 16:25:02,Online,Completed,No
107,200,1527,2024-09-03 23:39:03,Online,Pending,Yes
108,300,701,2025-05-15 07:38:09,Online,Completed,No
109,300,2645,2024-09-19 07:57:18,Credit Card,Completed,No
110,100,1087,2025-06-11 17:15:00,Debit Card,Completed,Yes
111,200,626,2025-05-21 11:39:36,Debit Card,Completed,Yes
112,300,2018,2025-06-15 12:34:42,Cash,Completed,Yes
113,200,1118,2024-12-12 00:41:21,Online,Completed,Yes
114,300,2976,2025-02-23 04:14:06,Cash,Completed,No
115,200,2836,2025-06-24 11:50:19,Cash,Completed,Yes
116,300,2960,2024-10-28 12:15:18,Credit Card,Completed,No
117,200,2069,2025-07-15 03:44:59,Debit Card,Completed,Yes
118,200,1301,2023-01-06 03:43:20,Credit Card,Completed,No
119,300,2330,2025-04-13 16:21:01,Debit Card,Completed,Yes
120,200,2358,2025-03-24 01:12:28,Debit Card,Completed,No
121,200,2736,2025-01-24 01:36:53,Cash,Completed,Yes
122,200,780,2025-05-14 13:06:17,Credit Card,Completed,Yes
123,300,1214,2023-09-26 07:04:52,Cash,Pending,Yes
124,200,2476,2023-02-11 18:35:26,Online,Completed,Yes
125,300,1652,2024-09-20 10:34:30,Debit Card,Completed,Yes
126,100,2489,2025-07-06 00:53:34,Credit Card,Completed,Yes
127,300,2846,2025-07-13 00:00:20,Debit Card,Completed,Yes
128,100,2597,2025-05-24 20:03:39,Cash,Completed,No
129,200,1470,2025-04-30 22:45:23,Online,Cancelled,Yes
130,300,2600,2024-11-25 11:46:20,Credit Card,Completed,No
131,100,620,2024-11-25 21:11:17,Online,Completed,Yes
132,100,768,2025-03-11 00:02:50,Cash,Completed,Yes
133,200,1350,2024-08-28 09:09:36,Debit Card,Completed,Yes
134,100,666,2023-11-25 13:14:00,Online,Completed,Yes
135,200,720,2024-08-26 18:08:44,Online,Pending,Yes
136,200,96,2024-01-14 21:14:23,Online,Completed,No
137,100,1006,2022-07-04 14:51:32,Debit Card,Completed,Yes
138,100,2398,2025-04-28 11:04:42,Debit Card,Completed,Yes
139,300,175,2024-05-23 18:27:28,Online,Pending,No
140,300,675,2025-06-03 01:50:56,Online,Completed,Yes
141,300,2599,2024-09-17 01:16:42,Online,Completed,Yes
142,200,1874,2023-03-04 15:51:39,Online,Completed,Yes
143,300,1905,2025-05-22 20:47:08,Credit Card,Completed,No
144,200,1108,2024-08-24 20:00:22,Debit Card,Pending,No
145,100,2664,2022-01-02 17:48:43,Credit Card,Pending,No
146,200,399,2025-07-07 00:56:45,Online,Completed,Yes
147,200,1668,2024-11-06 16:42:58,Online,Completed,Yes
148,200,158,2024-10-26 21:40:17,Debit Card,Pending,No
149,300,2889,2025-02-24 02:15:00,Cash,Completed,No
150,300,2739,2024-07-31 13:53:47,Cash,Completed,No
151,200,1423,2025-06-24 10:26:04,Cash,Completed,No
152,200,2890,2024-08-16 21:35:31,Debit Card,Completed,Yes
153,200,767,2025-02-02 17:37:53,Credit Card,Completed,Yes
154,100,1142,2025-02-13 09:00:40,Cash,Completed,No
155,300,2544,2024-07-28 21:54:04,Credit Card,Completed,No
156,200,2949,2025-05-17 19:47:09,Credit Card,Cancelled,No
157,300,1851,2024-12-23 01:33:22,Debit Card,Completed,Yes
158,300,1449,2025-07-08 04:32:17,Cash,Completed,No
159,100,2458,2024-08-08 14:10:18,Cash,Pending,Yes
160,100,90,2025-06-26 04:23:48,Debit Card,Completed,Yes
161,100,2827,2025-04-25 09:22:06,Cash,Completed,Yes
162,300,734,2025-04-13 01:03:33,Online,Completed,Yes
163,300,2198,2025-07-08 03:39:37,Debit Card,Completed,No
164,300,128,2024-12-31 06:43:20,Debit Card,Completed,Yes
165,200,1151,2024-08-12 20:32:46,Debit Card,Completed,Yes
166,200,2612,2025-04-10 07:23:38,Cash,Completed,No
167,200,1284,2024-06-16 19:34:10,Debit Card,Completed,Yes
168,200,1177,2024-10-16 02:04:50,Credit Card,Completed,No
169,200,2905,2024-01-04 02:19:26,Credit Card,Completed,Yes
170,200,1159,2025-05-28 09:31:25,Cash,Completed,Yes
171,300,935,2025-06-03 20:10:53,Credit Card,Completed,Yes
172,300,1889,2025-04-19 20:33:05,Debit Card,Completed,Yes
173,200,2039,2023-06-27 03:30:50,Cash,Completed,No
174,200,392,2025-07-07 15:14:38,Online,Completed,No
175,300,2475,2025-07-02 17:30:20,Cash,Completed,No
176,200,2539,2025-01-30 04:27:08,Credit Card,Completed,No
177,100,2581,2025-01-26 11:28:15,Credit Card,Completed,Yes
178,200,2286,2025-03-23 16:55:00,Cash,Completed,Yes
179,100,672,2022-10-29 18:09:29,Debit Card,Completed,Yes
180,200,1329,2025-04-19 02:02:00,Credit Card,Pending,No
181,200,1419,2025-05-27 06:17:18,Credit Card,Completed,Yes
182,100,487,2025-07-08 13:06:15,Cash,Completed,No
183,300,2389,2025-04-27 15:41:55,Online,Completed,No
184,200,237,2025-05-13 05:03:14,Cash,Cancelled,Yes
185,200,836,2024-01-08 20:32:04,Debit Card,Cancelled,No
186,100,2500,2024-08-22 02:31:53,Credit Card,Completed,Yes
187,300,2340,2025-06-03 02:04:30,Online,Completed,No
188,100,2462,2025-07-14 18:26:31,Credit Card,Cancelled,Yes
189,200,456,2025-03-05 17:57:40,Cash,Completed,Yes
190,300,436,2025-06-19 03:18:48,Debit Card,Completed,Yes
191,300,1180,2025-06-07 23:31:51,Online,Completed,Yes
192,100,1835,2024-05-22 04:20:23,Online,Pending,Yes
193,100,2621,2025-01-29 07:48:59,Cash,Completed,No
194,200,1730,2023-09-30 10:40:45,Credit Card,Completed,No
195,300,2139,2025-02-25 22:17:13,Online,Completed,No
196,200,291,2025-06-17 16:02:33,Cash,Completed,No
197,300,644,2025-04-09 07:28:55,Debit Card,Completed,Yes
198,300,2724,2025-02-13 08:12:17,Online,Pending,No
199,300,2378,2025-06-28 04:58:44,Debit Card,Pending,Yes
200,300,173,2025-07-10 14:42:29,Cash,Completed,Yes
201,100,2643,2024-05-26 06:01:57,Credit Card,Cancelled,Yes
202,300,1459,2025-01-27 19:41:34,Cash,Completed,Yes
203,100,2428,2024-02-14 06:51:52,Online,Pending,No
204,100,1267,2024-12-11 14:13:18,Debit Card,Completed,Yes
205,300,2717,2025-05-04 18:51:23,Debit Card,Completed,Yes
206,200,2370,2025-06-21 08:53:05,Credit Card,Completed,No
207,100,496,2024-11-04 18:41:20,Online,Pending,No
208,100,13,2024-07-07 02:34:13,Cash,Completed,Yes
209,200,2297,2024-12-29 07:30:51,Credit Card,Completed,No
210,100,2680,2024-07-19 14:10:31,Credit Card,Completed,Yes
211,200,761,2024-06-06 01:41:48,Cash,Completed,No
212,200,1371,2023-12-30 13:55:55,Credit Card,Completed,Yes
213,100,1568,2025-06-15 20:32:34,Credit Card,Pending,No
214,300,2465,2025-06-06 15:58:47,Debit Card,Cancelled,Yes
215,300,2317,2024-05-09 21:15:28,Debit Card,Completed,No
216,300,217,2025-05-06 09:50:06,Cash,Completed,Yes
217,200,1346,2024-10-01 07:49:57,Online,Pending,No
218,100,2099,2025-03-04 00:59:21,Debit Card,Completed,Yes
219,100,208,2024-10-09 12:45:17,Credit Card,Completed,Yes
220,300,2852,2025-03-19 22:53:40,Debit Card,Completed,No
221,300,1206,2024-12-19 03:32:34,Online,Completed,Yes
222,200,1933,2024-01-16 15:48:04,Credit Card,Completed,No
223,200,103,2024-05-18 05:54:26,Cash,Completed,No
224,200,1685,2025-07-08 15:55:02,Online,Completed,Yes
225,300,1659,2025-04-18 03:31:04,Cash,Completed,Yes
226,300,1008,2025-07-03 19:14:41,Debit Card,Completed,Yes
227,200,2287,2025-01-19 15:52:12,Cash,Completed,No
228,100,2950,2025-02-17 02:38:04,Cash,Cancelled,Yes
229,300,2081,2025-02-25 23:44:44,Debit Card,Completed,No
230,100,922,2024-08-20 23:12:51,Online,Completed,No
231,300,538,2025-01-21 14:32:17,Credit Card,Completed,Yes
232,100,1700,2025-06-24 17:28:12,Cash,Completed,Yes
233,300,534,2025-07-07 18:01:57,Cash,Pending,No
234,100,1639,2025-06-04 04:30:29,Debit Card,Completed,Yes
235,200,2611,2025-04-11 13:55:02,Credit Card,Completed,No
236,100,2101,2023-07-31 23:16:02,Credit Card,Completed,Yes
237,300,2465,2025-04-17 15:42:14,Debit Card,Completed,Yes
238,300,789,2025-07-09 05:55:30,Online,Completed,No
239,200,614,2025-03-16 19:46:28,Credit Card,Completed,Yes
240,100,2869,2022-10-31 17:26:22,Credit Card,Completed,No
241,100,2851,2023-09-30 22:35:43,Cash,Completed,No
242,100,2051,2024-03-05 20:16:27,Credit Card,Pending,Yes
243,200,1440,2025-07-13 08:03:51,Online,Completed,Yes
244,300,2896,2024-11-05 05:38:23,Debit Card,Completed,No
245,100,2779,2025-04-24 18:31:20,Debit Card,Completed,Yes
246,100,1062,2024-12-10 14:03:37,Cash,Completed,No
247,100,1585,2024-09-23 13:49:24,Cash,Completed,No
248,300,1685,2025-06-21 09:33:07,Debit Card,Completed,Yes
249,300,2684,2025-04-05 15:28:28,Online,Completed,No
250,200,683,2025-04-09 22:17:39,Credit Card,Pending,Yes
251,200,764,2022-12-16 09:01:34,Credit Card,Pending,No
252,100,1629,2025-07-07 17:20:33,Online,Completed,No
253,100,1204,2024-10-31 09:16:03,Cash,Completed,Yes
254,100,989,2025-07-02 01:31:40,Debit Card,Completed,Yes
255,100,1470,2023-02-08 17:24:11,Debit Card,Completed,Yes
256,100,1206,2025-04-05 04:25:07,Debit Card,Completed,Yes
257,300,984,2025-07-08 17:31:13,Credit Card,Completed,No
258,300,860,2025-01-22 15:43:30,Debit Card,Completed,No
259,300,2737,2024-07-23 21:16:31,Cash,Completed,Yes
260,100,2397,2024-10-22 13:39:53,Online,Completed,No
261,200,2409,2024-12-10 23:24:04,Cash,Pending,No
262,100,2201,2025-07-11 00:25:59,Online,Pending,No
263,100,2126,2025-04-23 11:30:13,Credit Card,Completed,Yes
264,300,792,2025-02-21 19:17:59,Cash,Completed,No
265,200,1117,2025-05-26 22:16:40,Debit Card,Completed,Yes
266,100,461,2025-06-10 00:12:08,Cash,Pending,Yes
267,200,764,2024-09-19 12:16:55,Debit Card,Completed,No
268,100,1927,2025-05-22 04:04:14,Online,Completed,No
269,200,2913,2024-09-02 17:24:48,Debit Card,Completed,No
270,100,2456,2025-07-10 09:09:07,Cash,Cancelled,Yes
271,200,175,2023-02-19 22:17:40,Cash,Pending,Yes
272,200,1521,2025-06-28 09:36:00,Debit Card,Completed,No
273,100,1654,2024-08-21 06:28:10,Cash,Completed,No
274,300,1458,2024-12-21 08:52:57,Debit Card,Completed,Yes
275,300,2076,2024-10-08 17:07:03,Credit Card,Pending,No
276,100,1784,2024-11-03 00:27:42,Credit Card,Completed,Yes
277,100,111,2023-03-14 22:37:43,Cash,Completed,No
278,300,2676,2025-06-18 16:15:25,Cash,Completed,No
279,300,698,2025-02-17 19:28:33,Online,Pending,No
280,200,181,2024-11-06 05:38:09,Online,Completed,No
281,200,2162,2024-10-28 15:21:52,Credit Card,Completed,Yes
282,100,2798,2024-01-30 01:15:55,Cash,Completed,No
283,200,1094,2024-01-06 22:43:08,Online,Completed,No
284,200,1313,2024-06-25 16:50:41,Credit Card,Completed,Yes
285,300,180,2025-06-13 21:26:24,Credit Card,Completed,Yes
286,300,875,2025-07-14 22:33:02,Cash,Completed,No
287,200,2155,2025-02-21 16:43:01,Debit Card,Completed,Yes
288,100,2251,2023-11-23 08:53:52,Debit Card,Completed,Yes
289,300,1957,2025-06-14 01:58:21,Cash,Completed,No
290,100,1631,2024-08-23 05:28:09,Online,Completed,No
291,300,2567,2024-07-30 22:33:37,Debit Card,Completed,No
292,100,1655,2024-03-22 22:46:15,Credit Card,Completed,No
293,200,827,2025-05-29 06:45:08,Online,Completed,Yes
294,300,873,2025-07-05 16:16:33,Online,Completed,Yes
295,200,2366,2023-12-03 13:59:56,Debit Card,Completed,No
296,200,2403,2024-09-07 13:27:47,Debit Card,Completed,Yes
297,200,2924,2023-03-05 19:28:15,Cash,Completed,No
298,100,1981,2025-05-29 15:19:12,Credit Card,Pending,No
299,300,2712,2025-04-08 22:29:19,Debit Card,Pending,Yes
300,300,2827,2024-08-06 17:37:43,Online,Completed,Yes
301,200,2777,2025-06-15 01:42:31,Debit Card,Completed,No
302,200,2156,2025-06-17 14:35:20,Credit Card,Completed,Yes
303,100,2150,2024-12-26 15:47:16,Credit Card,Completed,Yes
304,200,657,2024-09-14 20:17:56,Cash,Completed,Yes
305,300,2002,2025-04-17 08:57:42,Cash,Completed,No
306,300,1262,2025-06-25 21:57:31,Online,Cancelled,Yes
307,100,477,2025-02-26 19:10:48,Online,Cancelled,Yes
308,300,2909,2024-02-19 21:43:13,Credit Card,Completed,Yes
309,300,841,2025-04-10 08:41:57,Online,Completed,Yes
310,200,358,2025-03-05 08:51:13,Online,Completed,No
311,300,1166,2024-12-12 16:55:52,Online,Pending,Yes
312,100,2741,2022-08-16 13:50:23,Debit Card,Completed,Yes
313,200,2972,2025-05-11 22:09:37,Online,Completed,Yes
314,300,366,2024-05-23 14:32:20,Online,Completed,No
315,100,668,2024-02-25 16:20:44,Debit Card,Completed,Yes
316,100,1805,2025-05-18 03:02:03,Cash,Completed,Yes
317,300,1576,2025-03-10 05:07:54,Debit Card,Completed,Yes
318,100,2743,2024-05-20 10:32:16,Credit Card,Completed,No
319,100,2000,2025-07-05 17:13:08,Credit Card,Completed,No
320,100,1588,2023-05-05 11:01:09,Cash,Completed,Yes
321,300,2767,2025-06-24 21:23:43,Debit Card,Completed,Yes
322,200,2801,2024-09-17 06:53:17,Cash,Completed,Yes
323,200,2402,2024-06-07 19:49:27,Cash,Completed,No
324,100,990,2022-02-25 07:21:01,Debit Card,Cancelled,Yes
325,100,365,2025-07-14 21:52:50,Debit Card,Completed,No
326,100,2073,2025-07-10 23:18:39,Debit Card,Completed,Yes
327,300,2381,2024-11-06 15:20:54,Debit Card,Completed,No
328,100,2043,2024-11-09 02:58:45,Debit Card,Cancelled,Yes
329,300,554,2025-06-19 16:06:56,Debit Card,Completed,No
330,300,2723,2025-06-19 20:59:46,Cash,Completed,Yes
331,200,1096,2025-06-27 14:33:29,Cash,Pending,Yes
332,100,709,2023-03-27 07:52:40,Cash,Pending,Yes
333,100,1996,2023-03-18 19:46:52,Credit Card,Completed,No
334,200,769,2025-07-12 08:39:36,Cash,Completed,No
335,100,865,2025-07-02 13:55:21,Credit Card,Completed,Yes
336,200,1696,2024-03-02 01:29:30,Debit Card,Completed,No
337,100,2728,2025-03-11 20:55:46,Credit Card,Completed,No
338,200,2674,2025-01-01 23:48:00,Debit Card,Completed,Yes
339,300,1488,2025-07-06 19:34:45,Credit Card,Completed,Yes
340,300,694,2025-06-11 20:08:37,Online,Completed,Yes
341,300,875,2025-07-15 00:12:31,Debit Card,Completed,No
342,300,170,2025-04-26 16:30:22,Online,Pending,No
343,200,2715,2024-11-24 21:23:13,Online,Completed,No
344,200,2870,2025-05-21 00:51:19,Credit Card,Pending,Yes
345,200,2048,2024-12-19 08:13:11,Debit Card,Pending,No
346,100,2640,2025-07-01 19:02:50,Cash,Completed,Yes
347,300,1032,2024-12-30 04:02:10,Cash,Completed,Yes
348,300,2179,2025-05-19 10:27:46,Online,Completed,No
349,300,971,2024-08-08 12:21:26,Online,Completed,Yes
350,300,1374,2025-07-13 00:08:20,Debit Card,Completed,No
351,200,1117,2025-05-19 12:03:14,Debit Card,Completed,No
352,100,721,2024-05-16 10:32:32,Online,Completed,No
353,100,660,2022-02-17 07:57:33,Credit Card,Pending,No
354,200,397,2023-11-21 08:52:17,Cash,Completed,Yes
355,200,879,2024-03-09 03:22:49,Credit Card,Completed,Yes
356,200,1203,2022-11-06 06:47:48,Online,Completed,No
357,300,2663,2024-10-16 14:28:17,Cash,Pending,Yes
358,300,737,2025-05-06 11:06:24,Cash,Pending,No
359,200,311,2025-02-28 08:03:19,Debit Card,Completed,Yes
360,300,273,2025-05-06 09:21:57,Debit Card,Completed,No
361,200,1127,2025-02-15 04:55:35,Online,Completed,Yes
362,100,2598,2023-11-13 08:23:09,Cash,Completed,No
363,300,1981,2025-03-18 16:11:02,Cash,Pending,No
364,200,2494,2024-12-29 22:06:53,Credit Card,Pending,Yes
365,100,2058,2024-01-04 07:46:23,Debit Card,Completed,Yes
366,200,2937,2025-02-22 16:40:16,Credit Card,Completed,No
367,200,528,2025-02-02 10:05:15,Debit Card,Completed,Yes
368,300,2431,2025-05-09 11:33:21,Cash,Completed,Yes
369,300,2164,2025-04-13 05:03:27,Online,Completed,Yes
370,200,187,2025-04-18 14:55:14,Credit Card,Pending,Yes
371,200,2152,2025-06-27 08:33:07,Cash,Completed,Yes
372,200,725,2024-03-28 17:00:51,Online,Completed,No
373,300,1150,2024-03-29 20:11:11,Cash,Completed,No
374,100,2090,2025-01-09 06:31:14,Credit Card,Completed,Yes
375,200,1312,2023-12-12 16:48:57,Debit Card,Completed,No
376,200,729,2024-07-03 12:51:07,Cash,Completed,Yes
377,300,1645,2024-08-08 13:32:07,Credit Card,Completed,Yes
378,200,1450,2024-10-01 00:59:51,Online,Completed,No
379,200,1578,2023-01-19 13:51:45,Cash,Pending,Yes
380,100,1540,2024-10-25 17:05:19,Cash,Completed,No
381,300,44,2025-04-30 11:50:03,Cash,Completed,No
382,300,2712,2023-11-16 01:05:46,Cash,Pending,No
383,300,625,2024-10-22 05:11:36,Credit Card,Completed,Yes
384,100,1063,2024-03-07 11:49:48,Cash,Completed,No
385,300,1014,2024-09-07 00:59:44,Online,Completed,Yes
386,200,1460,2025-01-22 08:30:45,Credit Card,Pending,No
387,300,2790,2024-08-07 08:29:39,Online,Completed,No
388,100,372,2025-02-12 17:18:26,Debit Card,Completed,Yes
389,100,383,2025-05-20 08:07:42,Cash,Completed,Yes
390,300,988,2025-06-27 19:01:21,Credit Card,Completed,No
391,200,2662,2024-02-09 17:18:56,Debit Card,Completed,Yes
392,100,1478,2025-03-28 20:16:42,Online,Completed,No
393,200,2741,2025-05-06 05:24:02,Online,Completed,Yes
394,300,89,2024-04-29 06:12:31,Online,Completed,Yes
395,300,1139,2025-05-08 09:33:49,Debit Card,Completed,No
396,200,2701,2025-06-27 23:34:19,Credit Card,Completed,Yes
397,200,2601,2023-10-07 14:59:09,Cash,Completed,No
398,100,2888,2025-07-01 00:33:34,Debit Card,Completed,Yes
399,300,320,2025-05-24 09:58:18,Online,Completed,No
400,100,270,2025-01-24 10:45:16,Debit Card,Cancelled,No
401,300,2842,2025-05-27 18:03:04,Credit Card,Completed,No
402,200,1625,2025-06-29 15:58:11,Debit Card,Completed,Yes
403,300,1918,2025-06-15 15:56:36,Online,Completed,No
404,200,2142,2024-11-23 07:46:01,Cash,Completed,No
405,100,1374,2024-09-16 16:16:55,Online,Cancelled,No
406,200,2952,2025-03-21 22:58:50,Credit Card,Completed,No
407,200,557,2025-01-27 09:56:59,Credit Card,Completed,No
408,300,1762,2024-07-12 07:42:55,Debit Card,Completed,Yes
409,200,1352,2023-06-25 00:22:32,Cash,Completed,Yes
410,300,2618,2024-07-31 00:09:30,Credit Card,Pending,Yes
411,200,198,2025-03-02 23:32:23,Debit Card,Completed,Yes
412,100,2215,2024-11-12 23:47:50,Cash,Completed,No
413,200,1467,2024-05-16 09:00:55,Debit Card,Completed,No
414,100,2247,2025-05-21 21:39:21,Debit Card,Completed,No
415,200,1206,2024-12-01 00:44:47,Credit Card,Pending,Yes
416,100,2618,2025-02-27 03:03:04,Online,Completed,No
417,100,3000,2023-09-11 15:16:11,Credit Card,Completed,No
418,300,2215,2025-02-06 10:04:48,Cash,Completed,Yes
419,200,214,2023-11-09 22:25:17,Debit Card,Completed,No
420,100,2386,2025-05-19 19:39:37,Credit Card,Completed,No
421,200,724,2025-04-22 13:22:01,Debit Card,Completed,Yes
422,300,1396,2025-01-07 23:23:53,Credit Card,Completed,Yes
423,100,2991,2024-04-03 08:08:49,Credit Card,Completed,No
424,300,187,2025-07-15 00:39:48,Cash,Completed,Yes
425,200,2748,2024-08-21 09:46:52,Credit Card,Completed,No
426,100,1068,2025-05-27 07:15:00,Debit Card,Pending,No
427,200,747,2025-05-27 18:51:25,Credit Card,Completed,No
428,200,2284,2025-06-12 17:06:23,Cash,Cancelled,No
429,300,1188,2025-07-12 18:48:13,Online,Pending,Yes
430,300,1138,2025-04-19 07:21:25,Debit Card,Completed,Yes
431,200,1031,2024-12-03 22:26:08,Cash,Pending,No
432,300,21,2024-08-23 01:47:31,Debit Card,Pending,No
433,100,1393,2025-02-11 03:53:24,Cash,Completed,Yes
434,300,551,2025-07-06 22:39:04,Credit Card,Completed,Yes
435,100,2376,2024-08-18 12:16:39,Debit Card,Pending,Yes
436,100,1290,2025-04-05 05:01:19,Credit Card,Completed,Yes
437,100,1212,2025-05-02 08:58:07,Debit Card,Completed,Yes
438,100,2359,2024-09-07 02:43:37,Online,Completed,Yes
439,200,2910,2024-08-09 19:56:05,Cash,Pending,No
440,100,70,2025-05-03 19:35:50,Cash,Completed,No
