visit_id,customer_id,lead_id,branch_id,entring,leaving,datetime,purchased
74,9,,100,10:59:24,13:33:24,2021-02-23 10:59:24,False
75,10,,100,19:22:21,21:24:21,2021-02-23 19:22:21,False
76,7,,100,05:26:26,08:32:26,2021-02-24 05:26:26,False
77,14,,100,05:32:39,08:38:39,2021-02-24 05:32:39,False
78,13,,100,10:12:56,11:20:56,2021-02-24 10:12:56,True
79,,4,100,10:20:54,12:40:54,2021-02-24 10:20:54,True
80,,3,100,10:59:23,13:23:23,2021-02-24 10:59:23,True
81,,3,100,14:32:16,18:21:16,2021-02-24 14:32:16,True
82,,3,100,16:06:44,16:51:44,2021-02-24 16:06:44,True
83,4,,100,16:31:30,17:18:30,2021-02-24 16:31:30,True
84,12,,100,18:16:12,20:38:12,2021-02-24 18:16:12,True
85,,2,100,21:49:56,00:07:56,2021-02-24 21:49:56,True
86,,4,100,22:37:02,23:52:02,2021-02-24 22:37:02,True
87,5,,100,00:24:10,01:43:10,2021-02-25 00:24:10,False
88,13,,100,01:11:51,04:28:51,2021-02-25 01:11:51,True
89,10,,100,04:08:15,07:59:15,2021-02-25 04:08:15,True
90,14,,100,04:40:10,06:48:10,2021-02-25 04:40:10,False
91,,4,100,09:24:28,10:09:28,2021-02-25 09:24:28,True
92,14,,100,10:55:58,14:15:58,2021-02-25 10:55:58,True
93,,3,100,12:31:54,13:57:54,2021-02-25 12:31:54,True
94,,1,100,21:34:49,23:46:49,2021-02-25 21:34:49,True
95,5,,100,21:36:54,22:48:54,2021-02-25 21:36:54,True
96,,3,100,00:41:27,01:42:27,2021-02-26 00:41:27,False
97,1,,100,02:55:05,05:38:05,2021-02-26 02:55:05,True
98,1,,100,07:21:50,08:50:50,2021-02-26 07:21:50,True
99,8,,100,07:34:33,09:05:33,2021-02-26 07:34:33,True
100,19,,100,10:23:36,13:26:36,2021-02-26 10:23:36,True
101,11,,100,14:09:13,15:41:13,2021-02-26 14:09:13,False
102,9,,100,15:26:44,18:31:44,2021-02-26 15:26:44,False
103,,1,100,21:27:30,00:12:30,2021-02-26 21:27:30,True
104,13,,100,01:35:35,02:15:35,2021-02-27 01:35:35,True
105,9,,100,02:07:07,04:30:07,2021-02-27 02:07:07,False
106,,4,100,05:09:05,06:49:05,2021-02-27 05:09:05,True
107,,1,100,07:17:50,10:36:50,2021-02-27 07:17:50,True
108,10,,100,07:52:48,10:29:48,2021-02-27 07:52:48,False
109,,1,100,08:39:05,12:32:05,2021-02-27 08:39:05,True
110,,4,100,09:12:37,11:55:37,2021-02-27 09:12:37,False
111,22,,100,12:19:31,16:13:31,2021-02-27 12:19:31,True
112,7,,100,12:24:44,14:04:44,2021-02-27 12:24:44,False
113,9,,100,14:38:29,15:10:29,2021-02-27 14:38:29,False
114,1,,100,17:25:31,20:25:31,2021-02-27 17:25:31,False
115,12,,100,18:16:38,19:15:38,2021-02-27 18:16:38,True
116,,2,100,20:05:34,21:56:34,2021-02-27 20:05:34,False
117,12,,100,06:52:47,09:31:47,2021-02-28 06:52:47,True
118,,4,100,07:42:01,10:37:01,2021-02-28 07:42:01,False
119,9,,100,07:57:09,09:56:09,2021-02-28 07:57:09,False
120,5,,100,10:30:55,11:17:55,2021-02-28 10:30:55,False
121,12,,100,13:07:59,15:56:59,2021-02-28 13:07:59,False
122,6,,100,13:36:38,15:23:38,2021-02-28 13:36:38,True
123,8,,100,17:35:51,20:20:51,2021-02-28 17:35:51,True
124,7,,100,17:41:22,21:02:22,2021-02-28 17:41:22,True
125,20,,100,20:23:15,21:16:15,2021-02-28 20:23:15,True
126,6,,100,22:49:18,23:19:18,2021-02-28 22:49:18,False
127,12,,100,07:26:31,09:59:31,2021-03-01 07:26:31,False
128,,3,100,08:12:01,11:27:01,2021-03-01 08:12:01,False
129,,4,100,13:22:16,16:21:16,2021-03-01 13:22:16,True
130,,3,100,19:40:25,22:28:25,2021-03-01 19:40:25,False
131,14,,100,21:58:40,01:42:40,2021-03-01 21:58:40,True
132,18,,100,06:16:11,08:34:11,2021-03-02 06:16:11,False
133,10,,100,09:12:55,10:28:55,2021-03-02 09:12:55,False
134,6,,100,15:11:54,17:54:54,2021-03-02 15:11:54,True
135,7,,100,17:01:21,17:55:21,2021-03-02 17:01:21,False
136,4,,100,02:35:07,05:30:07,2021-03-03 02:35:07,False
137,13,,100,03:29:14,07:17:14,2021-03-03 03:29:14,True
138,25,,100,19:57:40,23:11:40,2021-03-03 19:57:40,False
139,,2,100,22:47:35,01:14:35,2021-03-03 22:47:35,False
140,3,,100,23:20:56,02:17:56,2021-03-03 23:20:56,True
141,4,,100,03:44:43,06:56:43,2021-03-04 03:44:43,True
142,7,,100,08:03:53,11:04:53,2021-03-04 08:03:53,True
143,4,,100,09:19:20,11:07:20,2021-03-04 09:19:20,True
144,17,,100,10:46:12,11:59:12,2021-03-04 10:46:12,False
145,14,,100,11:02:08,14:53:08,2021-03-04 11:02:08,True
146,3,,100,11:23:36,13:33:36,2021-03-04 11:23:36,False
147,2,,100,14:32:54,17:55:54,2021-03-04 14:32:54,True
148,19,,100,16:17:14,19:41:14,2021-03-04 16:17:14,True
149,9,,100,19:12:12,21:10:12,2021-03-04 19:12:12,False
150,17,,100,23:15:51,23:48:51,2021-03-04 23:15:51,True
151,,3,100,00:52:07,02:17:07,2021-03-05 00:52:07,False
152,,4,100,01:13:27,03:06:27,2021-03-05 01:13:27,True
153,22,,100,02:14:04,05:34:04,2021-03-05 02:14:04,True
154,,2,100,03:17:54,07:06:54,2021-03-05 03:17:54,True
155,14,,100,08:27:58,12:05:58,2021-03-05 08:27:58,False
156,,3,100,08:48:53,10:18:53,2021-03-05 08:48:53,False
157,,1,100,13:36:27,14:51:27,2021-03-05 13:36:27,False
158,16,,100,16:53:40,19:01:40,2021-03-05 16:53:40,False
159,17,,100,19:24:18,22:03:18,2021-03-05 19:24:18,True
160,24,,100,00:42:42,03:30:42,2021-03-06 00:42:42,False
161,10,,100,04:08:12,04:53:12,2021-03-06 04:08:12,False
162,11,,100,09:14:44,11:21:44,2021-03-06 09:14:44,True
163,3,,100,09:18:38,09:53:38,2021-03-06 09:18:38,False
164,13,,100,09:21:34,11:03:34,2021-03-06 09:21:34,False
165,3,,100,18:20:57,20:15:57,2021-03-06 18:20:57,False
166,,1,100,19:29:22,23:16:22,2021-03-06 19:29:22,False
167,7,,100,23:31:47,01:52:47,2021-03-06 23:31:47,True
168,22,,100,05:41:31,09:00:31,2021-03-07 05:41:31,False
169,8,,100,06:56:54,09:11:54,2021-03-07 06:56:54,True
170,4,,100,10:08:07,12:18:07,2021-03-07 10:08:07,True
171,16,,100,12:29:36,15:46:36,2021-03-07 12:29:36,False
172,,5,100,18:28:53,19:06:53,2021-03-07 18:28:53,True
173,11,,100,18:33:04,21:30:04,2021-03-07 18:33:04,True
174,7,,100,18:55:05,21:48:05,2021-03-07 18:55:05,True
175,2,,100,22:28:55,23:39:55,2021-03-07 22:28:55,True
176,37,,100,03:32:53,04:06:53,2021-03-08 03:32:53,True
177,,2,100,06:22:07,06:56:07,2021-03-08 06:22:07,False
178,,5,100,07:59:04,08:30:04,2021-03-08 07:59:04,False
179,,1,100,09:52:25,12:43:25,2021-03-08 09:52:25,True
180,4,,100,12:28:57,15:06:57,2021-03-08 12:28:57,True
181,8,,100,16:44:28,19:59:28,2021-03-08 16:44:28,False
182,,5,100,18:21:24,20:25:24,2021-03-08 18:21:24,False
183,38,,100,19:37:12,20:35:12,2021-03-08 19:37:12,False
184,36,,100,19:56:34,22:01:34,2021-03-08 19:56:34,False
185,1,,100,21:29:46,23:07:46,2021-03-08 21:29:46,True
186,,3,100,23:43:31,01:02:31,2021-03-08 23:43:31,False
187,,2,100,07:28:05,10:24:05,2021-03-09 07:28:05,True
188,14,,100,08:31:57,11:18:57,2021-03-09 08:31:57,False
189,20,,100,08:41:22,12:03:22,2021-03-09 08:41:22,True
190,,2,100,10:14:29,11:01:29,2021-03-09 10:14:29,True
191,,3,100,12:53:04,14:15:04,2021-03-09 12:53:04,True
192,39,,100,18:05:35,18:41:35,2021-03-09 18:05:35,False
193,2,,100,18:12:23,21:15:23,2021-03-09 18:12:23,False
194,1,,100,01:02:42,02:49:42,2021-03-10 01:02:42,True
195,19,,100,02:55:50,04:43:50,2021-03-10 02:55:50,False
196,,1,100,03:35:49,06:46:49,2021-03-10 03:35:49,True
197,7,,100,04:26:27,06:05:27,2021-03-10 04:26:27,True
198,,4,100,05:47:23,07:16:23,2021-03-10 05:47:23,True
199,10,,100,10:10:33,11:38:33,2021-03-10 10:10:33,False
200,1,,100,10:15:07,11:20:07,2021-03-10 10:15:07,True
201,19,,100,17:06:32,19:33:32,2021-03-10 17:06:32,False
202,17,,100,17:14:52,17:55:52,2021-03-10 17:14:52,False
203,12,,100,17:30:49,19:13:49,2021-03-10 17:30:49,True
204,13,,100,00:24:57,02:36:57,2021-03-11 00:24:57,True
205,10,,100,03:04:56,05:43:56,2021-03-11 03:04:56,True
206,,1,100,03:10:48,06:45:48,2021-03-11 03:10:48,False
207,11,,100,04:29:49,05:12:49,2021-03-11 04:29:49,False
208,2,,100,05:03:23,08:21:23,2021-03-11 05:03:23,False
209,5,,100,06:30:17,09:02:17,2021-03-11 06:30:17,True
210,5,,100,10:40:16,11:48:16,2021-03-11 10:40:16,True
211,,2,100,11:38:51,13:17:51,2021-03-11 11:38:51,False
212,,3,100,13:21:33,13:55:33,2021-03-11 13:21:33,True
213,40,,100,14:07:09,16:30:09,2021-03-11 14:07:09,False
214,16,,100,14:18:20,16:08:20,2021-03-11 14:18:20,True
215,19,,100,16:47:29,17:51:29,2021-03-11 16:47:29,False
216,28,,100,23:50:11,02:28:11,2021-03-11 23:50:11,True
217,,5,100,00:23:16,01:50:16,2021-03-12 00:23:16,True
218,13,,100,01:48:30,02:51:30,2021-03-12 01:48:30,True
219,6,,100,03:59:08,07:41:08,2021-03-12 03:59:08,False
220,42,,100,09:23:46,13:08:46,2021-03-12 09:23:46,False
221,,5,100,09:33:47,10:44:47,2021-03-12 09:33:47,False
222,,6,100,10:12:35,13:21:35,2021-03-12 10:12:35,False
223,19,,100,11:02:25,14:23:25,2021-03-12 11:02:25,True
224,,1,100,13:57:33,17:30:33,2021-03-12 13:57:33,True
225,,4,100,15:29:37,16:49:37,2021-03-12 15:29:37,True
226,,2,100,21:02:41,23:26:41,2021-03-12 21:02:41,True
227,,2,100,08:05:11,10:25:11,2021-03-13 08:05:11,True
228,22,,100,09:34:39,13:28:39,2021-03-13 09:34:39,True
229,21,,100,12:06:54,12:36:54,2021-03-13 12:06:54,True
230,3,,100,12:55:58,14:56:58,2021-03-13 12:55:58,False
231,4,,100,16:10:10,17:40:10,2021-03-13 16:10:10,False
232,20,,100,17:27:00,19:44:00,2021-03-13 17:27:00,True
233,3,,100,18:12:37,21:01:37,2021-03-13 18:12:37,False
234,11,,100,21:38:12,22:38:12,2021-03-13 21:38:12,False
235,17,,100,23:02:14,00:02:14,2021-03-13 23:02:14,True
236,26,,100,23:26:23,01:01:23,2021-03-13 23:26:23,False
237,,7,100,00:38:50,03:01:50,2021-03-14 00:38:50,False
238,25,,100,01:21:24,03:31:24,2021-03-14 01:21:24,False
239,12,,100,03:43:14,04:16:14,2021-03-14 03:43:14,True
240,22,,100,09:52:13,10:30:13,2021-03-14 09:52:13,False
241,21,,100,12:06:40,14:55:40,2021-03-14 12:06:40,True
242,,3,100,13:01:08,16:44:08,2021-03-14 13:01:08,True
243,1,,100,13:48:39,15:21:39,2021-03-14 13:48:39,False
244,33,,100,15:04:56,18:34:56,2021-03-14 15:04:56,False
245,4,,100,19:45:08,22:22:08,2021-03-14 19:45:08,True
246,34,,100,20:09:05,23:49:05,2021-03-14 20:09:05,False
247,46,,100,21:17:26,21:54:26,2021-03-14 21:17:26,False
248,18,,100,21:19:46,22:41:46,2021-03-14 21:19:46,True
249,29,,100,22:40:02,01:27:02,2021-03-14 22:40:02,False
250,17,,100,02:14:41,05:44:41,2021-03-15 02:14:41,False
251,22,,100,02:44:45,03:48:45,2021-03-15 02:44:45,False
252,,1,100,08:06:59,10:19:59,2021-03-15 08:06:59,True
253,43,,100,08:56:17,09:53:17,2021-03-15 08:56:17,False
254,42,,100,09:39:17,11:41:17,2021-03-15 09:39:17,False
255,,5,100,10:16:36,11:36:36,2021-03-15 10:16:36,False
256,,3,100,10:21:42,11:53:42,2021-03-15 10:21:42,True
257,,6,100,13:08:39,17:08:39,2021-03-15 13:08:39,True
258,,1,100,13:12:35,16:28:35,2021-03-15 13:12:35,True
259,39,,100,13:32:11,15:39:11,2021-03-15 13:32:11,False
260,15,,100,13:45:15,15:51:15,2021-03-15 13:45:15,False
261,22,,100,19:30:56,23:06:56,2021-03-15 19:30:56,True
262,45,,100,00:13:29,01:39:29,2021-03-16 00:13:29,False
263,,11,100,00:33:19,03:57:19,2021-03-16 00:33:19,False
264,9,,100,05:21:05,08:18:05,2021-03-16 05:21:05,True
265,32,,100,05:31:05,07:15:05,2021-03-16 05:31:05,False
266,,1,100,09:05:26,11:45:26,2021-03-16 09:05:26,True
267,,1,100,11:31:49,14:12:49,2021-03-16 11:31:49,False
268,12,,100,12:03:15,14:40:15,2021-03-16 12:03:15,False
269,40,,100,14:22:50,15:32:50,2021-03-16 14:22:50,True
270,50,,100,14:35:34,15:39:34,2021-03-16 14:35:34,False
271,29,,100,16:20:47,18:38:47,2021-03-16 16:20:47,False
272,33,,100,20:04:11,22:46:11,2021-03-16 20:04:11,False
273,9,,100,20:28:42,22:16:42,2021-03-16 20:28:42,True
274,5,,100,20:37:49,23:06:49,2021-03-16 20:37:49,True
275,40,,100,21:08:12,00:40:12,2021-03-16 21:08:12,True
276,35,,100,00:43:08,04:05:08,2021-03-17 00:43:08,True
277,15,,100,00:57:08,02:28:08,2021-03-17 00:57:08,True
278,49,,100,07:45:26,08:46:26,2021-03-17 07:45:26,False
279,,2,100,08:50:45,09:25:45,2021-03-17 08:50:45,True
280,20,,100,11:55:53,12:47:53,2021-03-17 11:55:53,True
281,23,,100,16:09:29,17:05:29,2021-03-17 16:09:29,False
282,3,,100,16:30:47,20:07:47,2021-03-17 16:30:47,False
283,12,,100,21:01:10,21:52:10,2021-03-17 21:01:10,True
284,3,,100,21:37:44,23:05:44,2021-03-17 21:37:44,True
285,39,,100,21:47:21,00:25:21,2021-03-17 21:47:21,True
286,,2,100,23:25:23,00:02:23,2021-03-17 23:25:23,False
287,7,,100,01:17:59,02:21:59,2021-03-18 01:17:59,True
288,52,,100,04:17:11,06:24:11,2021-03-18 04:17:11,True
289,32,,100,07:58:57,10:29:57,2021-03-18 07:58:57,True
290,,2,100,13:06:11,16:27:11,2021-03-18 13:06:11,True
291,,3,100,13:48:13,17:02:13,2021-03-18 13:48:13,True
292,,9,100,20:05:38,21:47:38,2021-03-18 20:05:38,True
293,17,,100,21:45:48,01:20:48,2021-03-18 21:45:48,True
294,34,,100,01:50:00,02:26:00,2021-03-19 01:50:00,False
295,52,,100,01:56:44,05:44:44,2021-03-19 01:56:44,False
296,6,,100,04:13:32,05:47:32,2021-03-19 04:13:32,False
297,,11,100,04:51:17,05:59:17,2021-03-19 04:51:17,False
298,,1,100,09:12:45,12:07:45,2021-03-19 09:12:45,True
299,35,,100,15:51:40,17:34:40,2021-03-19 15:51:40,True
300,17,,100,16:52:00,20:26:00,2021-03-19 16:52:00,False
301,46,,100,23:00:13,23:51:13,2021-03-19 23:00:13,False
302,,4,100,23:37:25,01:51:25,2021-03-19 23:37:25,False
303,15,,100,07:19:56,08:37:56,2021-03-20 07:19:56,False
304,4,,100,09:34:38,13:10:38,2021-03-20 09:34:38,False
305,,4,100,09:39:39,11:42:39,2021-03-20 09:39:39,True
306,,5,100,16:23:28,17:20:28,2021-03-20 16:23:28,True
307,,1,100,16:55:33,18:24:33,2021-03-20 16:55:33,False
308,23,,100,19:27:39,21:04:39,2021-03-20 19:27:39,False
309,,3,100,19:37:15,22:55:15,2021-03-20 19:37:15,False
310,26,,100,20:52:22,22:54:22,2021-03-20 20:52:22,True
311,17,,100,21:02:52,23:56:52,2021-03-20 21:02:52,False
312,,4,100,21:19:50,00:44:50,2021-03-20 21:19:50,False
313,6,,100,22:51:30,02:28:30,2021-03-20 22:51:30,False
314,,2,100,23:05:14,00:13:14,2021-03-20 23:05:14,False
315,6,,100,23:35:15,00:31:15,2021-03-20 23:35:15,False
316,,1,100,01:07:51,03:45:51,2021-03-21 01:07:51,False
317,,1,100,02:01:39,04:42:39,2021-03-21 02:01:39,True
318,15,,100,02:40:01,05:22:01,2021-03-21 02:40:01,False
319,52,,100,10:04:13,11:31:13,2021-03-21 10:04:13,True
320,48,,100,01:31:20,02:01:20,2021-03-22 01:31:20,True
321,47,,100,02:55:19,05:13:19,2021-03-22 02:55:19,True
322,61,,100,04:04:36,05:54:36,2021-03-22 04:04:36,False
323,43,,100,04:31:40,06:34:40,2021-03-22 04:31:40,False
324,43,,100,08:52:03,12:06:03,2021-03-22 08:52:03,False
325,8,,100,09:33:53,10:53:53,2021-03-22 09:33:53,False
326,61,,100,15:17:35,16:41:35,2021-03-22 15:17:35,True
327,,8,100,18:21:39,21:36:39,2021-03-22 18:21:39,False
328,28,,100,21:25:19,23:52:19,2021-03-22 21:25:19,False
329,7,,100,23:26:02,03:13:02,2021-03-22 23:26:02,False
330,2,,100,03:37:54,04:36:54,2021-03-23 03:37:54,False
331,,10,100,07:25:40,08:12:40,2021-03-23 07:25:40,True
332,42,,100,12:33:49,14:52:49,2021-03-23 12:33:49,True
333,33,,100,14:24:12,16:15:12,2021-03-23 14:24:12,False
334,,2,100,15:34:23,17:12:23,2021-03-23 15:34:23,False
335,12,,100,15:46:38,17:55:38,2021-03-23 15:46:38,False
336,42,,100,17:11:48,18:09:48,2021-03-23 17:11:48,True
337,46,,100,17:16:33,20:37:33,2021-03-23 17:16:33,True
338,12,,100,18:07:49,18:51:49,2021-03-23 18:07:49,True
339,27,,100,19:28:13,20:35:13,2021-03-23 19:28:13,False
340,65,,100,01:17:22,02:17:22,2021-03-24 01:17:22,False
341,,6,100,02:57:08,06:32:08,2021-03-24 02:57:08,True
342,62,,100,08:16:39,10:35:39,2021-03-24 08:16:39,True
343,55,,100,13:08:41,13:53:41,2021-03-24 13:08:41,False
344,14,,100,15:01:29,18:48:29,2021-03-24 15:01:29,True
345,15,,100,19:20:16,23:16:16,2021-03-24 19:20:16,True
346,,4,100,23:55:42,02:30:42,2021-03-24 23:55:42,True
347,10,,100,00:15:48,02:37:48,2021-03-25 00:15:48,True
348,6,,100,04:15:23,05:20:23,2021-03-25 04:15:23,True
349,62,,100,09:08:45,11:26:45,2021-03-25 09:08:45,False
350,22,,100,09:39:33,10:39:33,2021-03-25 09:39:33,True
351,66,,100,10:49:12,14:01:12,2021-03-25 10:49:12,True
352,39,,100,11:44:44,14:38:44,2021-03-25 11:44:44,False
353,47,,100,12:23:23,14:59:23,2021-03-25 12:23:23,False
354,62,,100,12:46:00,14:03:00,2021-03-25 12:46:00,False
355,47,,100,22:03:08,01:17:08,2021-03-25 22:03:08,False
356,,2,100,22:32:18,23:37:18,2021-03-25 22:32:18,False
357,28,,100,01:50:08,03:26:08,2021-03-26 01:50:08,False
358,26,,100,03:41:20,05:09:20,2021-03-26 03:41:20,False
359,15,,100,06:38:13,10:20:13,2021-03-26 06:38:13,False
360,47,,100,10:20:23,11:31:23,2021-03-26 10:20:23,False
361,36,,100,10:45:54,14:31:54,2021-03-26 10:45:54,False
362,,13,100,11:52:40,15:19:40,2021-03-26 11:52:40,True
363,13,,100,18:34:14,22:24:14,2021-03-26 18:34:14,False
364,12,,100,19:33:26,21:52:26,2021-03-26 19:33:26,False
365,31,,100,19:44:39,20:40:39,2021-03-26 19:44:39,False
366,55,,100,19:49:01,23:32:01,2021-03-26 19:49:01,True
367,29,,100,21:03:54,00:48:54,2021-03-26 21:03:54,False
368,66,,100,22:17:01,01:42:01,2021-03-26 22:17:01,True
369,73,,100,03:26:48,06:36:48,2021-03-27 03:26:48,False
370,,12,100,04:01:42,06:50:42,2021-03-27 04:01:42,False
371,43,,100,05:33:59,07:17:59,2021-03-27 05:33:59,True
372,53,,100,07:51:53,11:33:53,2021-03-27 07:51:53,False
373,,10,100,08:58:00,12:29:00,2021-03-27 08:58:00,True
374,,10,100,13:21:58,14:02:58,2021-03-27 13:21:58,False
375,30,,100,15:35:21,17:44:21,2021-03-27 15:35:21,False
376,5,,100,16:50:31,18:51:31,2021-03-27 16:50:31,False
377,1,,100,20:08:36,23:53:36,2021-03-27 20:08:36,False
378,54,,100,22:12:25,00:41:25,2021-03-27 22:12:25,True
379,,7,100,01:04:13,03:04:13,2021-03-28 01:04:13,True
380,15,,100,02:01:43,04:13:43,2021-03-28 02:01:43,True
381,15,,100,03:35:32,04:23:32,2021-03-28 03:35:32,True
382,,1,100,06:54:28,09:19:28,2021-03-28 06:54:28,True
383,,15,100,13:12:25,15:35:25,2021-03-28 13:12:25,False
384,3,,100,15:44:37,19:33:37,2021-03-28 15:44:37,False
385,37,,100,18:19:41,19:58:41,2021-03-28 18:19:41,True
386,,6,100,03:14:25,05:41:25,2021-03-29 03:14:25,True
387,32,,100,15:05:57,16:05:57,2021-03-29 15:05:57,True
388,,13,100,16:21:51,18:48:51,2021-03-29 16:21:51,False
389,25,,100,23:35:14,02:26:14,2021-03-29 23:35:14,False
390,,4,100,23:46:49,00:29:49,2021-03-29 23:46:49,True
391,73,,100,07:55:47,09:00:47,2021-03-30 07:55:47,True
392,44,,100,09:27:39,12:52:39,2021-03-30 09:27:39,True
393,76,,100,09:58:23,13:07:23,2021-03-30 09:58:23,True
394,9,,100,18:07:51,20:45:51,2021-03-30 18:07:51,False
395,,2,100,18:37:17,21:01:17,2021-03-30 18:37:17,False
396,46,,100,22:37:35,00:15:35,2021-03-30 22:37:35,False
397,17,,100,01:22:04,02:05:04,2021-03-31 01:22:04,True
398,55,,100,05:40:53,08:27:53,2021-03-31 05:40:53,True
399,,15,100,09:11:09,12:11:09,2021-03-31 09:11:09,False
400,,3,100,13:09:57,14:36:57,2021-03-31 13:09:57,True
401,25,,100,14:02:58,16:02:58,2021-03-31 14:02:58,True
402,61,,100,14:47:18,16:08:18,2021-03-31 14:47:18,True
403,67,,100,19:43:43,22:59:43,2021-03-31 19:43:43,True
404,57,,100,22:39:57,02:37:57,2021-03-31 22:39:57,False
405,,15,100,00:08:02,01:31:02,2021-04-01 00:08:02,False
406,22,,100,00:44:30,03:03:30,2021-04-01 00:44:30,True
407,,12,100,02:05:26,03:01:26,2021-04-01 02:05:26,False
408,46,,100,03:00:51,04:16:51,2021-04-01 03:00:51,True
409,,1,100,04:21:06,06:04:06,2021-04-01 04:21:06,False
